[100] URL: https://www.mozilla.org | Código: 000 | Tiempo: 33ms
[110] URL: https://www.mozilla.org | Código: 000 | Tiempo: 19ms
[98] URL: https://www.gnu.org | Código: 000 | Tiempo: 38ms
[111] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 18ms
[104] URL: https://example.com | Código: 000 | Tiempo: 27ms
[106] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 20ms
[108] URL: https://www.gnu.org | Código: 000 | Tiempo: 35ms
[113] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 17ms
[116] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 16ms
[114] URL: https://example.com | Código: 000 | Tiempo: 23ms
[112] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 17ms
[117] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 16ms
[119] URL: https://www.kernel.org | Código: 000 | Tiempo: 11ms
[115] URL: https://www.google.com | Código: 000 | Tiempo: 21ms
[118] URL: https://www.gnu.org | Código: 000 | Tiempo: 17ms
[120] URL: https://www.mozilla.org | Código: 000 | Tiempo: 13ms
[121] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 14ms
[122] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 16ms
[123] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 15ms
[124] URL: https://example.com | Código: 000 | Tiempo: 16ms
[125] URL: https://www.google.com | Código: 000 | Tiempo: 12ms
[126] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 18ms
[127] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 17ms
[129] URL: https://www.kernel.org | Código: 000 | Tiempo: 15ms
[130] URL: https://www.mozilla.org | Código: 000 | Tiempo: 11ms
[128] URL: https://www.gnu.org | Código: 000 | Tiempo: 18ms
[131] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 13ms
[133] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 16ms
[132] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 15ms
[135] URL: https://www.google.com | Código: 000 | Tiempo: 15ms
[134] URL: https://example.com | Código: 000 | Tiempo: 17ms
[137] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 12ms
[136] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 14ms
[138] URL: https://www.gnu.org | Código: 000 | Tiempo: 11ms
[140] URL: https://www.mozilla.org | Código: 000 | Tiempo: 12ms
[139] URL: https://www.kernel.org | Código: 000 | Tiempo: 16ms
[141] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 13ms
[142] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 14ms
[143] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 15ms
[144] URL: https://example.com | Código: 000 | Tiempo: 12ms
[145] URL: https://www.google.com | Código: 000 | Tiempo: 11ms
[146] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 11ms
[147] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 14ms
[148] URL: https://www.gnu.org | Código: 000 | Tiempo: 14ms
[150] URL: https://www.mozilla.org | Código: 000 | Tiempo: 11ms
[149] URL: https://www.kernel.org | Código: 000 | Tiempo: 17ms
[151] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 13ms
[152] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 14ms
[153] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 10ms
[154] URL: https://example.com | Código: 000 | Tiempo: 14ms
[155] URL: https://www.google.com | Código: 000 | Tiempo: 14ms
[156] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 12ms
[157] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 14ms
[158] URL: https://www.gnu.org | Código: 000 | Tiempo: 12ms
[159] URL: https://www.kernel.org | Código: 000 | Tiempo: 14ms
[160] URL: https://www.mozilla.org | Código: 000 | Tiempo: 12ms
[162] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 12ms
[161] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 17ms
[163] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 14ms
[164] URL: https://example.com | Código: 000 | Tiempo: 10ms
[166] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 14ms
[165] URL: https://www.google.com | Código: 000 | Tiempo: 15ms
[167] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 13ms
[168] URL: https://www.gnu.org | Código: 000 | Tiempo: 14ms
[169] URL: https://www.kernel.org | Código: 000 | Tiempo: 16ms
[170] URL: https://www.mozilla.org | Código: 000 | Tiempo: 15ms
[171] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 15ms
[172] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 20ms
[173] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 16ms
[174] URL: https://example.com | Código: 000 | Tiempo: 14ms
[175] URL: https://www.google.com | Código: 000 | Tiempo: 14ms
[176] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 14ms
[179] URL: https://www.kernel.org | Código: 000 | Tiempo: 13ms
[177] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 14ms
[178] URL: https://www.gnu.org | Código: 000 | Tiempo: 19ms
[180] URL: https://www.mozilla.org | Código: 000 | Tiempo: 17ms
[183] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 15ms
[182] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 17ms
[181] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 20ms
[184] URL: https://example.com | Código: 000 | Tiempo: 21ms
[186] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 17ms
[187] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 23ms
[185] URL: https://www.google.com | Código: 000 | Tiempo: 27ms
[190] URL: https://www.mozilla.org | Código: 000 | Tiempo: 19ms
[188] URL: https://www.gnu.org | Código: 000 | Tiempo: 22ms
[192] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 19ms
[191] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 20ms
[194] URL: https://example.com | Código: 000 | Tiempo: 22ms
[189] URL: https://www.kernel.org | Código: 000 | Tiempo: 25ms
[193] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 25ms
[196] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 21ms
[199] URL: https://www.kernel.org | Código: 000 | Tiempo: 20ms
[195] URL: https://www.google.com | Código: 000 | Tiempo: 20ms
[197] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 24ms
[198] URL: https://www.gnu.org | Código: 000 | Tiempo: 25ms
[204] URL: https://example.com | Código: 000 | Tiempo: 13ms
[202] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 16ms
[203] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 14ms
[200] URL: https://www.mozilla.org | Código: 000 | Tiempo: 20ms
[201] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 20ms
[206] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 20ms
[207] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 10ms
[209] URL: https://www.kernel.org | Código: 000 | Tiempo: 14ms
[205] URL: https://www.google.com | Código: 000 | Tiempo: 28ms
[208] URL: https://www.gnu.org | Código: 000 | Tiempo: 16ms
[210] URL: https://www.mozilla.org | Código: 000 | Tiempo: 20ms
[212] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 16ms
[211] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 15ms
[213] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 19ms
[215] URL: https://www.google.com | Código: 000 | Tiempo: 17ms
[216] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 16ms
[214] URL: https://example.com | Código: 000 | Tiempo: 20ms
[217] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 15ms
[218] URL: https://www.gnu.org | Código: 000 | Tiempo: 14ms
[220] URL: https://www.mozilla.org | Código: 000 | Tiempo: 17ms
[219] URL: https://www.kernel.org | Código: 000 | Tiempo: 18ms
[222] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 13ms
[221] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 14ms
[223] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 17ms
[226] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 13ms
[224] URL: https://example.com | Código: 000 | Tiempo: 16ms
[225] URL: https://www.google.com | Código: 000 | Tiempo: 13ms
[227] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 19ms
[228] URL: https://www.gnu.org | Código: 000 | Tiempo: 19ms
[230] URL: https://www.mozilla.org | Código: 000 | Tiempo: 15ms
[229] URL: https://www.kernel.org | Código: 000 | Tiempo: 18ms
[232] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 22ms
[231] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 23ms
[233] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 19ms
[234] URL: https://example.com | Código: 000 | Tiempo: 18ms
[235] URL: https://www.google.com | Código: 000 | Tiempo: 17ms
[236] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 16ms
[237] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 18ms
[238] URL: https://www.gnu.org | Código: 000 | Tiempo: 15ms
[239] URL: https://www.kernel.org | Código: 000 | Tiempo: 26ms
[244] URL: https://example.com | Código: 000 | Tiempo: 14ms
[242] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 16ms
[246] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 12ms
[240] URL: https://www.mozilla.org | Código: 000 | Tiempo: 20ms
[241] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 21ms
[243] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 24ms
[245] URL: https://www.google.com | Código: 000 | Tiempo: 21ms
[248] URL: https://www.gnu.org | Código: 000 | Tiempo: 15ms
[250] URL: https://www.mozilla.org | Código: 000 | Tiempo: 19ms
[247] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 30ms
[251] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 20ms
[254] URL: https://example.com | Código: 000 | Tiempo: 16ms
[256] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 13ms
[255] URL: https://www.google.com | Código: 000 | Tiempo: 13ms
[249] URL: https://www.kernel.org | Código: 000 | Tiempo: 25ms
[252] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 21ms
[253] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 21ms
[258] URL: https://www.gnu.org | Código: 000 | Tiempo: 14ms
[259] URL: https://www.kernel.org | Código: 000 | Tiempo: 14ms
[257] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 16ms
[260] URL: https://www.mozilla.org | Código: 000 | Tiempo: 22ms
[261] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 23ms
[262] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 17ms
[265] URL: https://www.google.com | Código: 000 | Tiempo: 11ms
[263] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 21ms
[264] URL: https://example.com | Código: 000 | Tiempo: 13ms
[267] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 18ms
[266] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 20ms
[268] URL: https://www.gnu.org | Código: 000 | Tiempo: 15ms
[269] URL: https://www.kernel.org | Código: 000 | Tiempo: 15ms
[271] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 14ms
[270] URL: https://www.mozilla.org | Código: 000 | Tiempo: 21ms
[272] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 17ms
[274] URL: https://example.com | Código: 000 | Tiempo: 13ms
[273] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 16ms
[276] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 16ms
[277] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 15ms
[275] URL: https://www.google.com | Código: 000 | Tiempo: 18ms
[278] URL: https://www.gnu.org | Código: 000 | Tiempo: 18ms
[280] URL: https://www.mozilla.org | Código: 000 | Tiempo: 13ms
[279] URL: https://www.kernel.org | Código: 000 | Tiempo: 17ms
[281] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 16ms
[283] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 21ms
[282] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 18ms
[287] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 20ms
[286] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 19ms
[284] URL: https://example.com | Código: 000 | Tiempo: 28ms
[285] URL: https://www.google.com | Código: 000 | Tiempo: 18ms
[289] URL: https://www.kernel.org | Código: 000 | Tiempo: 14ms
[288] URL: https://www.gnu.org | Código: 000 | Tiempo: 16ms
[293] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 12ms
[291] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 14ms
[290] URL: https://www.mozilla.org | Código: 000 | Tiempo: 19ms
[292] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 18ms
[295] URL: https://www.google.com | Código: 000 | Tiempo: 14ms
[294] URL: https://example.com | Código: 000 | Tiempo: 12ms
[296] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 15ms
[298] URL: https://www.gnu.org | Código: 000 | Tiempo: 14ms
[297] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 14ms
[299] URL: https://www.kernel.org | Código: 000 | Tiempo: 16ms
[300] URL: https://www.mozilla.org | Código: 000 | Tiempo: 13ms
[301] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 13ms
[303] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 13ms
[302] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 14ms
[304] URL: https://example.com | Código: 000 | Tiempo: 13ms
[306] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 12ms
[305] URL: https://www.google.com | Código: 000 | Tiempo: 15ms
[308] URL: https://www.gnu.org | Código: 000 | Tiempo: 16ms
[307] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 14ms
[309] URL: https://www.kernel.org | Código: 000 | Tiempo: 13ms
[310] URL: https://www.mozilla.org | Código: 000 | Tiempo: 16ms
[311] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 14ms
[313] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 14ms
[312] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 17ms
[315] URL: https://www.google.com | Código: 000 | Tiempo: 13ms
[314] URL: https://example.com | Código: 000 | Tiempo: 13ms
[316] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 17ms
[317] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 13ms
[318] URL: https://www.gnu.org | Código: 000 | Tiempo: 14ms
[319] URL: https://www.kernel.org | Código: 000 | Tiempo: 18ms
[322] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 12ms
[320] URL: https://www.mozilla.org | Código: 000 | Tiempo: 16ms
[321] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 19ms
[324] URL: https://example.com | Código: 000 | Tiempo: 13ms
[323] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 17ms
[325] URL: https://www.google.com | Código: 000 | Tiempo: 13ms
[326] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 14ms
[327] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 17ms
[328] URL: https://www.gnu.org | Código: 000 | Tiempo: 17ms
[329] URL: https://www.kernel.org | Código: 000 | Tiempo: 13ms
[330] URL: https://www.mozilla.org | Código: 000 | Tiempo: 17ms
[331] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 17ms
[333] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 14ms
[332] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 21ms
[32] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1025ms
[25] URL: https://www.google.com | Código: 000 | Tiempo: 1046ms
[14] URL: https://example.com | Código: 000 | Tiempo: 1076ms
[334] URL: https://example.com | Código: 000 | Tiempo: 13ms
[18] URL: https://www.gnu.org | Código: 000 | Tiempo: 1059ms
