[107] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 2431ms
[129] URL: https://www.kernel.org | Código: 200 | Tiempo: 1514ms
[23] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 2879ms
[125] URL: https://www.google.com | Código: 200 | Tiempo: 1781ms
[54] URL: https://example.com | Código: 200 | Tiempo: 2773ms
[43] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 2821ms
[34] URL: https://example.com | Código: 200 | Tiempo: 2893ms
[63] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 2786ms
[14] URL: https://example.com | Código: 200 | Tiempo: 2970ms
[64] URL: https://example.com | Código: 200 | Tiempo: 2787ms
[99] URL: https://www.kernel.org | Código: 200 | Tiempo: 2593ms
[73] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 2614ms
[18] URL: https://www.gnu.org | Código: 200 | Tiempo: 3015ms
[111] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 2494ms
[103] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 2613ms
[127] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 1711ms
[101] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 2689ms
[121] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 2112ms
[84] URL: https://example.com | Código: 200 | Tiempo: 2716ms
[109] URL: https://www.kernel.org | Código: 200 | Tiempo: 2610ms
[94] URL: https://example.com | Código: 200 | Tiempo: 2724ms
[135] URL: https://www.google.com | Código: 200 | Tiempo: 1053ms
[123] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 2044ms
[122] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 2053ms
[104] URL: https://example.com | Código: 200 | Tiempo: 2701ms
[48] URL: https://www.gnu.org | Código: 200 | Tiempo: 3048ms
[56] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 3024ms
[86] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 2810ms
[137] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 1037ms
[140] URL: https://www.mozilla.org | Código: 200 | Tiempo: 784ms
[116] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 2389ms
[113] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 2469ms
[114] URL: https://example.com | Código: 200 | Tiempo: 2433ms
[117] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 2113ms
[139] URL: https://www.kernel.org | Código: 200 | Tiempo: 814ms
[78] URL: https://www.gnu.org | Código: 200 | Tiempo: 2852ms
[68] URL: https://www.gnu.org | Código: 200 | Tiempo: 3033ms
[24] URL: https://example.com | Código: 200 | Tiempo: 3202ms
[131] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1671ms
[58] URL: https://www.gnu.org | Código: 200 | Tiempo: 3098ms
[38] URL: https://www.gnu.org | Código: 200 | Tiempo: 3174ms
[130] URL: https://www.mozilla.org | Código: 200 | Tiempo: 1752ms
[145] URL: https://www.google.com | Código: 200 | Tiempo: 475ms
[133] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1542ms
[132] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1635ms
[110] URL: https://www.mozilla.org | Código: 200 | Tiempo: 2747ms
[149] URL: https://www.kernel.org | Código: 200 | Tiempo: 356ms
[124] URL: https://example.com | Código: 200 | Tiempo: 2205ms
[126] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 2068ms
[120] URL: https://www.mozilla.org | Código: 200 | Tiempo: 2349ms
[136] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 1286ms
[150] URL: https://www.mozilla.org | Código: 200 | Tiempo: 389ms
[88] URL: https://www.gnu.org | Código: 200 | Tiempo: 3015ms
[108] URL: https://www.gnu.org | Código: 200 | Tiempo: 2889ms
[147] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 550ms
[98] URL: https://www.gnu.org | Código: 200 | Tiempo: 3033ms
[28] URL: https://www.gnu.org | Código: 200 | Tiempo: 3392ms
[134] URL: https://example.com | Código: 200 | Tiempo: 1503ms
[146] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 634ms
[118] URL: https://www.gnu.org | Código: 200 | Tiempo: 2532ms
[141] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1071ms
[128] URL: https://www.gnu.org | Código: 200 | Tiempo: 2192ms
[142] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1092ms
[143] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1008ms
[159] URL: https://www.kernel.org | Código: 200 | Tiempo: 549ms
[138] URL: https://www.gnu.org | Código: 200 | Tiempo: 1490ms
[155] URL: https://www.google.com | Código: 200 | Tiempo: 649ms
